Timestamp,Open,High,Low,Close,Volume
1733428800,99051,99439,98088,98367,465.36976980
1733430600,98353,99314,97917,99149,330.90947659
1733432400,99142,99577,99114,99324,104.05128611
1733434200,99325,99325,98931,99010,107.66318984
1733436000,99010,99143,92092,94349,570.01561384
1733437800,94366,97201,94293,96810,794.28736067
1733439600,96780,97575,95593,97344,170.23452645
1733441400,97428,97428,96527,97057,8.70090671
1733443200,96968,97340,96463,96967,14.89298574
1733445000,97062,97830,97062,97587,54.61179275
1733446800,97612,97933,97184,97913,7.49914057
1733448600,97927,98836,97915,98176,57.12186216
1733450400,98154,98175,97682,97923,30.57539266
1733452200,97866,97989,97550,97550,7.08137165
1733454000,97543,97660,97261,97284,13.46909878
1733455800,97307,97787,97307,97682,6.95057878
1733457600,97780,97817,97452,97473,2.20042173
1733459400,97457,98009,97457,97934,5.22425592
1733461200,97899,98314,97697,98127,7.40094852
1733463000,98144,98144,97827,97973,32.47254086
1733464800,97973,98258,97818,98187,9.39863174
1733466600,98177,98316,97915,98136,47.28576346
1733468400,98140,98186,97856,98005,10.73388123
1733470200,98005,98330,97990,98211,10.77704225
1733472000,98218,98691,98119,98669,50.27048370
1733473800,98652,98771,98388,98422,20.90261980
1733475600,98422,98462,98161,98200,10.66840353
1733477400,98174,98519,98033,98101,13.70423696
1733479200,98101,98195,97614,98000,179.82047302
1733481000,98010,98245,97861,98219,13.60456095
1733482800,98219,98398,97978,98077,34.71868354
1733484600,98081,98169,97891,98153,5.15327803
1733486400,98162,98469,98037,98147,10.87806299
1733488200,98147,98232,97650,97737,44.82490798
1733490000,97718,98181,97602,98181,17.32586200
1733491800,98080,99000,97941,98673,76.13009759
1733493600,98684,99425,98468,99366,74.11197973
1733495400,99366,99580,98741,99579,141.38247671
1733497200,99573,99573,98694,99170,127.68773564
1733499000,99161,99597,99085,99406,96.59705965
1733500800,99429,99623,98892,99176,95.22521799
1733502600,99170,99423,98960,99139,77.22045803
1733504400,99138,99497,99009,99482,47.75233572
1733506200,99490,101350,99312,100996,184.45601825
1733508000,101004,101895,100730,101677,164.90302304
1733509800,101695,101711,100966,101510,226.21251258
1733511600,101524,101730,101369,101519,111.75962283
1733513400,101519,101959,101409,101599,86.76916248
1733515200,101642,101990,101469,101984,59.14066329
1733517000,101984,102098,101251,101558,151.73232244
1733518800,101558,101643,101189,101284,13.18718504
1733520600,101284,101286,100508,100578,35.53585877
1733522400,100579,100876,100579,100652,11.70454360
1733524200,100644,100853,100518,100662,9.72130353
1733526000,100662,100744,99304,99608,91.47130283
1733527800,99537,100221,99467,99898,10.94289123
1733529600,99898,100497,99713,100394,39.39139369
1733531400,100360,100544,100274,100447,7.90674291
1733533200,100407,100575,100242,100324,3.04464161
1733535000,100324,100324,100324,100324,0.00000000
1733536800,100324,100324,100324,100324,0.00000000
1733538600,100324,100324,100324,100324,0.00000000
1733540400,100324,100324,100324,100324,0.00000000
1733542200,100324,100324,100324,100324,0.00000000
