Timestamp,Open,High,Low,Close,Volume
1733428800,1.18611,1.19409,1.16940,1.17254,82718.07821766
1733430600,1.16797,1.18119,1.16797,1.18061,20404.76426229
1733432400,1.17975,1.18709,1.17864,1.18709,23041.71503748
1733434200,1.18759,1.19244,1.18759,1.19082,1099.47928604
1733436000,1.19155,1.20000,1.13726,1.15201,80914.30960240
1733437800,1.15726,1.18625,1.15718,1.18625,10337.24636198
1733439600,1.18144,1.18144,1.15344,1.17577,22965.09924757
1733441400,1.16874,1.16874,1.15959,1.16558,3215.13147447
1733443200,1.16558,1.16558,1.16558,1.16558,0.00000000
1733445000,1.17000,1.18052,1.17000,1.18052,15804.94373661
1733446800,1.17073,1.18070,1.17073,1.18070,1192.46513393
1733448600,1.18142,1.18460,1.18030,1.18030,10524.88138299
1733450400,1.18030,1.18030,1.18030,1.18030,0.00000000
1733452200,1.18653,1.19236,1.18653,1.19236,6684.50647527
1733454000,1.18393,1.18423,1.18270,1.18270,3506.54061083
1733455800,1.18886,1.18886,1.18743,1.18743,3500.00000000
1733457600,1.18743,1.18743,1.18743,1.18743,0.00000000
1733459400,1.19388,1.19388,1.19060,1.19196,4705.62020458
1733461200,1.19574,1.19701,1.19574,1.19701,843.20104373
1733463000,1.18967,1.18967,1.18967,1.18967,3457.75674000
1733464800,1.18967,1.19610,1.18967,1.19610,13681.69960211
1733466600,1.19696,1.19696,1.19696,1.19696,0.06269082
1733468400,1.19759,1.19759,1.19335,1.19378,4854.48892405
1733470200,1.18874,1.18979,1.18874,1.18979,30.76698223
1733472000,1.18739,1.18739,1.18739,1.18739,222.51045351
1733473800,1.18998,1.19078,1.17601,1.17731,72633.79368906
1733475600,1.17303,1.17303,1.16093,1.16150,21827.67396926
1733477400,1.15879,1.16792,1.15879,1.16441,5126.77617891
1733479200,1.16467,1.16467,1.15170,1.15602,3049.81635542
1733481000,1.15204,1.16343,1.15204,1.16226,8648.12109328
1733482800,1.16303,1.16421,1.16301,1.16421,3003.71323158
1733484600,1.16432,1.16455,1.15782,1.16134,3703.08927663
1733486400,1.16198,1.17274,1.16198,1.16958,6842.02707162
1733488200,1.16442,1.16442,1.14004,1.14004,9098.25177853
1733490000,1.14269,1.14943,1.13643,1.13643,9161.36330656
1733491800,1.15208,1.16897,1.15208,1.16174,15129.86860591
1733493600,1.15574,1.16569,1.15574,1.16569,4246.37344567
1733495400,1.16913,1.18264,1.16410,1.18264,41017.80000000
1733497200,1.17684,1.20509,1.17324,1.20509,35549.20982467
1733499000,1.21452,1.22249,1.20658,1.20658,45112.62093125
1733500800,1.21748,1.21748,1.19807,1.19807,10156.62049905
1733502600,1.20762,1.21571,1.20464,1.20464,6935.61047458
